District_code,State_name,District_name,Population,Male,Female,Literate,Male_Literate,Female_Literate
1,JAMMU AND KASHMIR,Kupwara,870354,474190,396164,439654,282823,156831
2,JAMMU AND KASHMIR,Badgam,753745,398041,355704,335649,207741,127908
3,JAMMU AND KASHMIR,Leh(Ladakh),133487,78971,54516,93770,62834,30936
4,JAMMU AND KASHMIR,Kargil,140802,77785,63017,86236,56301,29935
5,JAMMU AND KASHMIR,Punch,476835,251899,224936,261724,163333,98391
6,JAMMU AND KASHMIR,Rajouri,642415,345351,297064,364109,224469,139640
7,JAMMU AND KASHMIR,Kathua,616435,326109,290326,389204,228499,160705
8,JAMMU AND KASHMIR,Baramula,1008039,534733,473306,545149,337170,207979
9,JAMMU AND KASHMIR,Bandipore,392232,207680,184552,185979,117058,68921
10,JAMMU AND KASHMIR,Srinagar,1236829,651124,585705,748584,431746,316838
11,JAMMU AND KASHMIR,Ganderbal,297446,158720,138726,143276,90581,52695
12,JAMMU AND KASHMIR,Pulwama,560440,293064,267376,293958,178326,115632
13,JAMMU AND KASHMIR,Shupiyan,266215,136480,129735,136500,80355,56145
14,JAMMU AND KASHMIR,Anantnag,1078692,559767,518925,545532,324417,221115
15,JAMMU AND KASHMIR,Kulgam,424483,217620,206863,209085,125052,84033
16,JAMMU AND KASHMIR,Doda,409936,213641,196295,219083,138620,80463
17,JAMMU AND KASHMIR,Ramban,283713,149132,134581,124065,82938,41127
18,JAMMU AND KASHMIR,Kishtwar,230696,120165,110531,107506,68700,38806
19,JAMMU AND KASHMIR,Udhampur,554985,296784,258201,322354,197543,124811
20,JAMMU AND KASHMIR,Reasi,314667,166461,148206,150542,93937,56605
21,JAMMU AND KASHMIR,Jammu,1529958,813821,716137,1137135,641916,495219
22,JAMMU AND KASHMIR,Samba,318898,169124,149774,228139,130312,97827
23,HIMACHAL PRADESH,Chamba,519080,261320,257760,323842,186064,137778
24,HIMACHAL PRADESH,Kangra,1510075,750591,759484,1152640,606443,546197
25,HIMACHAL PRADESH,Lahul AND Spiti,31564,16588,14976,21845,12897,8948
26,HIMACHAL PRADESH,Kullu,437903,225452,212451,307672,174550,133122
27,HIMACHAL PRADESH,Mandi,999777,498065,501712,723747,393669,330078
28,HIMACHAL PRADESH,Hamirpur,454768,217070,237698,358091,180555,177536
29,HIMACHAL PRADESH,Una,521173,263692,257481,399715,213281,186434
30,HIMACHAL PRADESH,Bilaspur,381956,192764,189192,287620,155599,132021
31,HIMACHAL PRADESH,Solan,580320,308754,271566,428578,244372,184206
32,HIMACHAL PRADESH,Sirmaur,529855,276289,253566,362645,205617,157028
33,HIMACHAL PRADESH,Shimla,814010,425039,388971,612642,342846,269796
34,HIMACHAL PRADESH,Kinnaur,84121,46249,37872,60699,36697,24002
35,PUNJAB,Gurdaspur,2298323,1212617,1085706,1634719,907660,727059
36,PUNJAB,Kapurthala,815168,426311,388857,576567,316254,260313
37,PUNJAB,Jalandhar,2193590,1145211,1048379,1622537,882581,739956
38,PUNJAB,Hoshiarpur,1586625,809057,777568,1199699,637927,561772
39,PUNJAB,Shahid Bhagat Singh Nagar,612310,313291,299019,438459,239155,199304
40,PUNJAB,Fatehgarh Sahib,600163,320795,279368,426033,238696,187337
41,PUNJAB,Ludhiana,3498739,1867816,1630923,2560225,1428348,1131877
42,PUNJAB,Moga,995746,525920,469826,627889,348549,279340
43,PUNJAB,Firozpur,2029074,1071637,957437,1227511,707070,520441
44,PUNJAB,Muktsar,901896,475622,426274,524848,300401,224447
45,PUNJAB,Faridkot,617508,326671,290837,381285,215767,165518
46,PUNJAB,Bathinda,1388525,743197,645328,844868,488261,356607
47,PUNJAB,Mansa,769751,408732,361019,423560,244037,179523
48,PUNJAB,Patiala,1895686,1002522,893164,1266791,711052,555739
49,PUNJAB,Amritsar,2490656,1318408,1172248,1684770,932981,751789
50,PUNJAB,Tarn Taran,1119627,589369,530258,666162,376427,289735
51,PUNJAB,Rupnagar,684627,357485,327142,502731,278534,224197
52,PUNJAB,Sahibzada Ajit Singh Nagar,994628,529253,465375,736575,409944,326631
53,PUNJAB,Sangrur,1655169,878029,777140,1002077,570413,431664
54,PUNJAB,Barnala,595527,317522,278005,359831,201999,157832
55,CHANDIGARH,Chandigarh,1055450,580663,474787,805438,465346,340092
56,UTTARAKHAND,Uttarkashi,330086,168597,161489,215126,128237,86889
57,UTTARAKHAND,Chamoli,391605,193991,197614,280556,155395,125161
58,UTTARAKHAND,Rudraprayag,242285,114589,127696,170933,91803,79130
59,UTTARAKHAND,Tehri Garhwal,618931,297986,320945,407994,227406,180588
60,UTTARAKHAND,Dehradun,1696694,892199,804495,1259506,702216,557290
61,UTTARAKHAND,Garhwal,687271,326829,360442,494889,262148,232741
62,UTTARAKHAND,Pithoragarh,483439,239306,244133,345550,189623,155927
63,UTTARAKHAND,Bageshwar,259898,124326,135572,179483,97546,81937
64,UTTARAKHAND,Almora,622506,291081,331425,436497,231604,204893
65,UTTARAKHAND,Champawat,259648,131125,128523,177726,102015,75711
66,UTTARAKHAND,Nainital,954605,493666,460939,696500,385779,310721
67,UTTARAKHAND,Udham Singh Nagar,1648902,858783,790119,1037839,598525,439314
68,UTTARAKHAND,Hardwar,1890422,1005295,885127,1178354,691411,486943
69,HARYANA,Panchkula,561293,299679,261614,405318,229862,175456
70,HARYANA,Ambala,1128350,598703,529647,818025,461288,356737
71,HARYANA,Yamunanagar,1214205,646718,567487,832457,474793,357664
72,HARYANA,Kurukshetra,964655,510976,453679,646893,370828,276065
73,HARYANA,Kaithal,1074304,571003,503301,646529,385782,260747
74,HARYANA,Karnal,1505324,797712,707612,978013,564516,413497
75,HARYANA,Panipat,1205437,646857,558580,786599,464136,322463
76,HARYANA,Sonipat,1450001,781299,668702,998316,589881,408435
77,HARYANA,Jind,1334152,713006,621146,832758,502049,330709
78,HARYANA,Fatehabad,942011,495360,446651,557578,327471,230107
79,HARYANA,Sirsa,1295189,682582,612607,782897,456968,325929
80,HARYANA,Hisar,1743931,931562,812369,1114311,670200,444111
81,HARYANA,Bhiwani,1634445,866672,767773,1069871,643158,426713
82,HARYANA,Rohtak,1061204,568479,492725,747582,436025,311557
83,HARYANA,Jhajjar,958405,514667,443738,676091,399480,276611
84,HARYANA,Mahendragarh,922088,486665,435423,630255,380440,249815
85,HARYANA,Rewari,900332,474335,425997,636947,375453,261494
86,HARYANA,Gurgaon,1514432,816690,697742,1111116,638666,472450
87,HARYANA,Mewat,1089263,571162,518101,454897,308435,146462
88,HARYANA,Faridabad,1809733,966110,843623,1272739,734940,537799
89,HARYANA,Palwal,1042708,554497,488211,599796,379696,220100
90,NCT OF DELHI,North West,3656539,1960922,1695617,2707855,1541952,1165903
91,NCT OF DELHI,North,887978,475002,412976,681517,381615,299902
92,NCT OF DELHI,North East,2241624,1188425,1053199,1611588,912481,699107
93,NCT OF DELHI,East,1709346,907500,801846,1352998,748382,604616
94,NCT OF DELHI,New Delhi,142004,77942,64062,114179,65678,48501
95,NCT OF DELHI,Central,582320,307821,274499,442360,240518,201842
96,NCT OF DELHI,West,2543243,1356240,1187003,1961179,1093933,867246
97,NCT OF DELHI,South West,2292958,1246046,1046912,1787689,1025261,762428
98,NCT OF DELHI,South,2731929,1467428,1264501,2078402,1185036,893366
99,RAJASTHAN,Ganganagar,1969168,1043340,925828,1193343,710908,482435
100,RAJASTHAN,Hanumangarh,1774692,931184,843508,1034136,624281,409855
101,RAJASTHAN,Bikaner,2363937,1240801,1123136,1278801,782399,496402
102,RAJASTHAN,Churu,2039547,1051446,988101,1149269,696729,452540
103,RAJASTHAN,Jhunjhunun,2137045,1095896,1041149,1370360,815834,554526
104,RAJASTHAN,Alwar,3674179,1939026,1735153,2182476,1359829,822647
105,RAJASTHAN,Bharatpur,2548462,1355726,1192736,1480869,943910,536959
106,RAJASTHAN,Dhaulpur,1206516,653647,552869,683098,435721,247377
107,RAJASTHAN,Karauli,1458248,783639,674609,805849,531904,273945
108,RAJASTHAN,Sawai Madhopur,1335551,704031,631520,741748,486184,255564
109,RAJASTHAN,Dausa,1634409,857787,776622,938051,596935,341116
110,RAJASTHAN,Jaipur,6626178,3468507,3157671,4300965,2554793,1746172
111,RAJASTHAN,Sikar,2677333,1374990,1302343,1652117,995275,656842
112,RAJASTHAN,Nagaur,3307743,1696325,1611418,1758624,1102750,655874
113,RAJASTHAN,Jodhpur,3687165,1923928,1763237,2031532,1265753,765779
114,RAJASTHAN,Jaisalmer,669919,361708,308211,308653,210415,98238
115,RAJASTHAN,Barmer,2603751,1369022,1234729,1188322,783461,404861
116,RAJASTHAN,Jalor,1828730,936634,892096,829582,543923,285659
117,RAJASTHAN,Sirohi,1036346,534231,502115,476806,309900,166906
118,RAJASTHAN,Pali,2037573,1025422,1012151,1085693,667381,418312
119,RAJASTHAN,Ajmer,2583052,1324085,1258967,1526673,926268,600405
120,RAJASTHAN,Tonk,1421326,728136,693190,749659,478329,271330
121,RAJASTHAN,Bundi,1110906,577160,533746,585044,371705,213339
122,RAJASTHAN,Bhilwara,2408523,1220736,1187787,1256126,777582,478544
123,RAJASTHAN,Rajsamand,1156597,581339,575258,619139,383334,235805
124,RAJASTHAN,Dungarpur,1388552,696532,692020,681591,415820,265771
125,RAJASTHAN,Banswara,1797485,907754,889731,829343,513854,315489
126,RAJASTHAN,Chittaurgarh,1544338,783171,761167,821825,514851,306974
127,RAJASTHAN,Kota,1951014,1021161,929853,1298345,765396,532949
128,RAJASTHAN,Baran,1222755,633945,588810,693307,432607,260700
129,RAJASTHAN,Jhalawar,1411129,725143,685986,739792,466815,272977
130,RAJASTHAN,Udaipur,3068420,1566801,1501619,1582629,973444,609185
131,RAJASTHAN,Pratapgarh,867848,437744,430104,401515,250122,151393
132,UTTAR PRADESH,Saharanpur,3466382,1834106,1632276,2077108,1220114,856994
133,UTTAR PRADESH,Muzaffarnagar,4143512,2193434,1950078,2417339,1448528,968811
134,UTTAR PRADESH,Bijnor,3682713,1921215,1761498,2135393,1241471,893922
135,UTTAR PRADESH,Moradabad,4772006,2503186,2268820,2263848,1357435,906413
136,UTTAR PRADESH,Rampur,2335819,1223889,1111930,1043666,630408,413258
137,UTTAR PRADESH,Jyotiba Phule Nagar,1840221,963449,876772,983110,600541,382569
138,UTTAR PRADESH,Meerut,3443689,1825743,1617946,2141488,1254520,886968
139,UTTAR PRADESH,Baghpat,1303048,700070,602978,797970,489858,308112
140,UTTAR PRADESH,Ghaziabad,4681645,2488834,2192811,3123264,1811397,1311867
141,UTTAR PRADESH,Gautam Buddha Nagar,1648115,890214,757901,1122947,666065,456882
142,UTTAR PRADESH,Bulandshahr,3499171,1845260,1653911,2031656,1253314,778342
143,UTTAR PRADESH,Aligarh,3673889,1951996,1721893,2092567,1283380,809187
144,UTTAR PRADESH,Mahamaya Nagar,1564708,836127,728581,942572,579157,363415
145,UTTAR PRADESH,Mathura,2547184,1367125,1180059,1507746,943346,564400
146,UTTAR PRADESH,Agra,4418797,2364953,2053844,2680510,1614594,1065916
147,UTTAR PRADESH,Firozabad,2498156,1332046,1166110,1521806,912314,609492
148,UTTAR PRADESH,Mainpuri,1868529,993377,875152,1203885,712110,491775
149,UTTAR PRADESH,Budaun,3681896,1967759,1714137,1547477,986501,560976
150,UTTAR PRADESH,Bareilly,4448359,2357665,2090694,2191759,1342697,849062
151,UTTAR PRADESH,Pilibhit,2031007,1072002,959005,1061095,654290,406805
152,UTTAR PRADESH,Shahjahanpur,3006538,1606403,1400135,1490930,915142,575788
153,UTTAR PRADESH,Kheri,4021243,2123187,1898056,2034044,1237157,796887
154,UTTAR PRADESH,Sitapur,4483992,2375264,2108728,2283733,1397702,886031
155,UTTAR PRADESH,Hardoi,4092845,2191442,1901403,2221601,1374587,847014
156,UTTAR PRADESH,Unnao,3108367,1630087,1478280,1773584,1053063,720521
157,UTTAR PRADESH,Lucknow,4589838,2394476,2195362,3127260,1742440,1384820
158,UTTAR PRADESH,Rae Bareli,3405559,1752542,1653017,1965843,1165965,799878
159,UTTAR PRADESH,Farrukhabad,1885204,1006240,878964,1092677,654827,437850
160,UTTAR PRADESH,Kannauj,1656616,881776,774840,1017087,603596,413491
161,UTTAR PRADESH,Etawah,1581810,845856,735954,1062003,623583,438420
162,UTTAR PRADESH,Auraiya,1379545,740040,639505,930836,546198,384638
163,UTTAR PRADESH,Kanpur Dehat,1796184,963255,832929,1170243,692964,477279
164,UTTAR PRADESH,Kanpur Nagar,4581268,2459806,2121462,3243022,1829179,1413843
165,UTTAR PRADESH,Jalaun,1689974,906092,783882,1075196,653430,421766
166,UTTAR PRADESH,Jhansi,1998603,1057436,941167,1304513,783705,520808
167,UTTAR PRADESH,Lalitpur,1221592,641011,580581,641191,397586,243605
168,UTTAR PRADESH,Hamirpur,1104285,593537,510748,653299,408125,245174
169,UTTAR PRADESH,Mahoba,875958,466358,409600,488106,302283,185823
170,UTTAR PRADESH,Banda,1799410,965876,833534,1002937,630626,372311
171,UTTAR PRADESH,Chitrakoot,991730,527721,464009,531072,330339,200733
172,UTTAR PRADESH,Fatehpur,2632733,1384722,1248011,1512166,911003,601163
173,UTTAR PRADESH,Pratapgarh,3209141,1606085,1603056,1931559,1121381,810178
174,UTTAR PRADESH,Kaushambi,1599596,838485,761111,813424,507279,306145
175,UTTAR PRADESH,Allahabad,5954391,3131807,2822584,3665727,2199340,1466387
176,UTTAR PRADESH,Bara Banki,3260699,1707073,1553626,1692458,1010518,681940
177,UTTAR PRADESH,Faizabad,2470996,1259628,1211368,1450901,838339,612562
178,UTTAR PRADESH,Ambedkar Nagar,2397888,1212410,1185478,1486939,846676,640263
179,UTTAR PRADESH,Sultanpur,3797117,1914586,1882531,2239902,1300248,939654
180,UTTAR PRADESH,Bahraich,3487731,1843884,1643847,1398368,878285,520083
181,UTTAR PRADESH,Shrawasti,1117361,593897,523464,423313,276700,146613
182,UTTAR PRADESH,Balrampur,2148665,1114721,1033944,868357,544943,323414
183,UTTAR PRADESH,Gonda,3433919,1787146,1646773,1679994,1034181,645813
184,UTTAR PRADESH,Siddharthnagar,2559297,1295095,1264202,1228926,740718,488208
185,UTTAR PRADESH,Basti,2464464,1255272,1209192,1393783,819719,574064
186,UTTAR PRADESH,Sant Kabir Nagar,1715183,869656,845527,954949,567098,387851
187,UTTAR PRADESH,Mahrajganj,2684703,1381754,1302949,1419144,881674,537470
188,UTTAR PRADESH,Gorakhpur,4440895,2277777,2163118,2700328,1593890,1106438
189,UTTAR PRADESH,Kushinagar,3564544,1818055,1746489,1954820,1183722,771098
190,UTTAR PRADESH,Deoria,3100946,1537436,1563510,1875239,1079288,795951
191,UTTAR PRADESH,Azamgarh,4613913,2285004,2328909,2771917,1559414,1212503
192,UTTAR PRADESH,Mau,2205968,1114709,1091259,1363044,773082,589962
193,UTTAR PRADESH,Ballia,3239774,1672902,1566872,1963590,1160960,802630
194,UTTAR PRADESH,Jaunpur,4494204,2220465,2273739,2731677,1565394,1166283
195,UTTAR PRADESH,Ghazipur,3620268,1855075,1765193,2197549,1293553,903996
196,UTTAR PRADESH,Chandauli,1952756,1017905,934851,1174606,699454,475152
197,UTTAR PRADESH,Varanasi,3676841,1921857,1754984,2403903,1389116,1014787
198,UTTAR PRADESH,Sant Ravidas Nagar (Bhadohi),1578213,807099,771114,910146,546782,363364
199,UTTAR PRADESH,Mirzapur,2496970,1312302,1184668,1428683,865837,562846
200,UTTAR PRADESH,Sonbhadra,1862559,971344,891215,985708,601988,383720
201,UTTAR PRADESH,Etah,1774480,947339,827141,1055202,647042,408160
202,UTTAR PRADESH,Kanshiram Nagar,1436719,764165,672554,724850,452803,272047
203,BIHAR,Pashchim Champaran,3935042,2061110,1873932,1759481,1091226,668255
204,BIHAR,Purba Champaran,5099371,2681209,2418162,2276957,1407603,869354
